iter	Logloss
0	0.6613737143
1	0.6322261388
2	0.6050227927
3	0.5798845407
4	0.5565076817
5	0.5347031922
6	0.5145989878
7	0.4961117056
8	0.4792612612
9	0.4634975
10	0.4488843178
11	0.4353658434
12	0.422885863
13	0.4111613336
14	0.4004305262
15	0.3904823055
16	0.3813267446
17	0.3728992066
18	0.3651814301
19	0.3576279535
20	0.3509938038
21	0.3439872196
22	0.3380932766
23	0.3327352169
24	0.327690846
25	0.3230206471
26	0.3183790428
27	0.3141537968
28	0.310428809
29	0.306895691
30	0.3037978129
31	0.3007317638
32	0.2980487123
33	0.2954750576
34	0.2930055151
35	0.2903053083
36	0.2876832857
37	0.2850008052
38	0.2830927881
39	0.2813714773
40	0.2789771972
41	0.2769435743
42	0.275130373
43	0.2737695206
44	0.2719289251
45	0.2709409537
46	0.2696146336
47	0.2682208432
48	0.2667934137
49	0.265503899
50	0.2638870007
51	0.2630531953
52	0.2615279571
53	0.2604550279
54	0.2596378204
55	0.2583948742
56	0.25739671
57	0.2564569615
58	0.2557250668
59	0.2549558239
60	0.2541749641
61	0.2532428657
62	0.252880671
63	0.2520416705
64	0.2515065212
65	0.2506372849
66	0.2499091884
67	0.2491526239
68	0.2486491507
69	0.2479983292
70	0.2473972795
71	0.2468235749
72	0.2462432718
73	0.2456656766
74	0.2451386746
75	0.2445479416
76	0.2440039699
77	0.2436045569
78	0.2431610879
79	0.2427478174
80	0.2423704075
81	0.2421436012
82	0.2417657378
83	0.2412298593
84	0.2407979378
85	0.2405216161
86	0.2401525525
87	0.2398999509
88	0.239560917
89	0.2393064209
90	0.2388439875
91	0.2384761807
92	0.2382621078
93	0.2379989677
94	0.2377289082
95	0.2374788744
96	0.2371453151
97	0.2369154754
98	0.2365040431
99	0.2361841846
100	0.2359629138
101	0.2356342898
102	0.2355235534
103	0.2351891395
104	0.2349432223
105	0.2346487337
106	0.2344433425
107	0.2342563007
108	0.2340328979
109	0.2338097152
110	0.2335834026
111	0.2333473772
112	0.2331183072
113	0.2329163014
114	0.2327352112
115	0.2324715549
116	0.2323152955
117	0.2320305189
118	0.2318680258
119	0.2316912141
120	0.2314690037
121	0.2312845546
122	0.2310811895
123	0.2308199238
124	0.2304973991
125	0.2302406399
126	0.2299880186
127	0.2298349625
128	0.2296423157
129	0.2295078895
130	0.2293198498
131	0.2291591755
132	0.2289487953
